received_at,Total Installs
2020-06-05 00:00:00+00:00,207
2020-06-06 00:00:00+00:00,613
2020-06-07 00:00:00+00:00,1134
2020-06-08 00:00:00+00:00,1780
2020-06-09 00:00:00+00:00,2356
2020-06-10 00:00:00+00:00,2982
2020-06-11 00:00:00+00:00,4043
2020-06-12 00:00:00+00:00,5081
2020-06-13 00:00:00+00:00,5660
2020-06-14 00:00:00+00:00,6308
2020-06-15 00:00:00+00:00,6945
2020-06-16 00:00:00+00:00,7783
2020-06-17 00:00:00+00:00,8502
2020-06-18 00:00:00+00:00,9243
2020-06-19 00:00:00+00:00,9949
2020-06-20 00:00:00+00:00,10523
2020-06-21 00:00:00+00:00,10993
2020-06-22 00:00:00+00:00,11778
2020-06-23 00:00:00+00:00,12462
2020-06-24 00:00:00+00:00,13187
2020-06-25 00:00:00+00:00,13906
2020-06-26 00:00:00+00:00,14581
2020-06-27 00:00:00+00:00,15274
2020-06-28 00:00:00+00:00,15889
2020-06-29 00:00:00+00:00,16564
2020-06-30 00:00:00+00:00,17180
2020-07-01 00:00:00+00:00,17876
2020-07-02 00:00:00+00:00,18520
2020-07-03 00:00:00+00:00,19077
2020-07-04 00:00:00+00:00,19609
2020-07-05 00:00:00+00:00,20204
2020-07-06 00:00:00+00:00,20946
2020-07-07 00:00:00+00:00,21530
2020-07-08 00:00:00+00:00,22083
2020-07-09 00:00:00+00:00,22740
2020-07-10 00:00:00+00:00,23449
2020-07-11 00:00:00+00:00,24058
2020-07-12 00:00:00+00:00,24546
2020-07-13 00:00:00+00:00,25179
2020-07-14 00:00:00+00:00,25828
2020-07-15 00:00:00+00:00,26421
2020-07-16 00:00:00+00:00,27036
2020-07-17 00:00:00+00:00,27706
2020-07-18 00:00:00+00:00,28126
2020-07-19 00:00:00+00:00,28585
2020-07-20 00:00:00+00:00,29304
2020-07-21 00:00:00+00:00,30024
2020-07-22 00:00:00+00:00,30657
2020-07-23 00:00:00+00:00,31399
2020-07-24 00:00:00+00:00,31966
2020-07-25 00:00:00+00:00,32514
2020-07-26 00:00:00+00:00,33076
2020-07-27 00:00:00+00:00,33744
2020-07-28 00:00:00+00:00,34349
2020-07-29 00:00:00+00:00,37517
2020-07-30 00:00:00+00:00,38161
2020-07-31 00:00:00+00:00,41206
2020-08-01 00:00:00+00:00,47517
2020-08-02 00:00:00+00:00,53414
2020-08-03 00:00:00+00:00,55997
2020-08-04 00:00:00+00:00,56685
2020-08-05 00:00:00+00:00,57321
2020-08-06 00:00:00+00:00,57899
2020-08-07 00:00:00+00:00,58328
2020-08-08 00:00:00+00:00,58824
2020-08-09 00:00:00+00:00,59332
2020-08-10 00:00:00+00:00,59978
2020-08-11 00:00:00+00:00,60641
2020-08-12 00:00:00+00:00,61303
2020-08-13 00:00:00+00:00,62006
2020-08-14 00:00:00+00:00,62560
2020-08-15 00:00:00+00:00,62996
2020-08-16 00:00:00+00:00,63471
2020-08-17 00:00:00+00:00,64118
2020-08-18 00:00:00+00:00,64828
2020-08-19 00:00:00+00:00,65576
2020-08-20 00:00:00+00:00,66279
2020-08-21 00:00:00+00:00,67070
2020-08-22 00:00:00+00:00,68316
2020-08-23 00:00:00+00:00,68852
2020-08-24 00:00:00+00:00,69736
2020-08-25 00:00:00+00:00,70515
2020-08-26 00:00:00+00:00,71172
2020-08-27 00:00:00+00:00,71881
2020-08-28 00:00:00+00:00,72524
2020-08-29 00:00:00+00:00,72991
2020-08-30 00:00:00+00:00,73494
2020-08-31 00:00:00+00:00,74520
2020-09-01 00:00:00+00:00,77032
2020-09-02 00:00:00+00:00,77838
2020-09-03 00:00:00+00:00,78658
2020-09-04 00:00:00+00:00,79344
2020-09-05 00:00:00+00:00,79838
2020-09-06 00:00:00+00:00,80424
2020-09-07 00:00:00+00:00,81131
2020-09-08 00:00:00+00:00,81943
2020-09-09 00:00:00+00:00,83340
2020-09-10 00:00:00+00:00,84859
2020-09-11 00:00:00+00:00,85943
2020-09-12 00:00:00+00:00,86913
2020-09-13 00:00:00+00:00,87734
2020-09-14 00:00:00+00:00,88842
2020-09-15 00:00:00+00:00,89955
2020-09-16 00:00:00+00:00,90927
2020-09-17 00:00:00+00:00,92025
2020-09-18 00:00:00+00:00,92928
2020-09-19 00:00:00+00:00,93645
2020-09-20 00:00:00+00:00,94517
2020-09-21 00:00:00+00:00,95634
2020-09-22 00:00:00+00:00,96628
2020-09-23 00:00:00+00:00,97701
2020-09-24 00:00:00+00:00,98676
2020-09-25 00:00:00+00:00,99520
2020-09-26 00:00:00+00:00,100263
2020-09-27 00:00:00+00:00,101048
2020-09-28 00:00:00+00:00,102013
2020-09-29 00:00:00+00:00,103043
2020-09-30 00:00:00+00:00,104047
2020-10-01 00:00:00+00:00,104978
2020-10-02 00:00:00+00:00,105878
2020-10-03 00:00:00+00:00,106556
2020-10-04 00:00:00+00:00,107207
2020-10-05 00:00:00+00:00,108108
2020-10-06 00:00:00+00:00,109100
2020-10-07 00:00:00+00:00,110708
2020-10-08 00:00:00+00:00,111843
2020-10-09 00:00:00+00:00,112922
2020-10-10 00:00:00+00:00,113694
2020-10-11 00:00:00+00:00,114462
2020-10-12 00:00:00+00:00,115440
2020-10-13 00:00:00+00:00,116443
2020-10-14 00:00:00+00:00,117545
2020-10-15 00:00:00+00:00,118574
2020-10-16 00:00:00+00:00,119501
2020-10-17 00:00:00+00:00,120197
2020-10-18 00:00:00+00:00,120812
2020-10-19 00:00:00+00:00,121835
2020-10-20 00:00:00+00:00,122871
2020-10-21 00:00:00+00:00,123940
2020-10-22 00:00:00+00:00,124974
2020-10-23 00:00:00+00:00,125964
2020-10-24 00:00:00+00:00,126697
2020-10-25 00:00:00+00:00,127503
2020-10-26 00:00:00+00:00,128570
2020-10-27 00:00:00+00:00,129633
2020-10-28 00:00:00+00:00,130731
2020-10-29 00:00:00+00:00,131871
2020-10-30 00:00:00+00:00,132900
2020-10-31 00:00:00+00:00,133605
2020-11-01 00:00:00+00:00,134327
2020-11-02 00:00:00+00:00,135482
2020-11-03 00:00:00+00:00,136533
2020-11-04 00:00:00+00:00,137541
2020-11-05 00:00:00+00:00,138407
2020-11-06 00:00:00+00:00,139377
2020-11-07 00:00:00+00:00,140162
2020-11-08 00:00:00+00:00,140927
2020-11-09 00:00:00+00:00,141954
2020-11-10 00:00:00+00:00,143032
2020-11-11 00:00:00+00:00,144100
