Month,coder/coder,coder/code-server,coder/blink,coder/boundary,coder/agentapi,coder/aibridge,coder/coder All-Time,coder/code-server All-Time,coder/blink All-Time,coder/boundary All-Time,coder/agentapi All-Time,coder/aibridge All-Time
2025-01,300,514,0,0,0,0,8719,68459,0,0,0,0
2025-02,198,486,0,0,0,0,8917,68945,0,0,0,0
2025-03,260,601,0,0,0,0,9177,69546,0,0,0,0
2025-04,375,977,0,0,478,0,9552,70523,0,0,478,0
2025-05,288,535,0,0,65,0,9840,71058,0,0,543,0
2025-06,185,616,0,0,65,0,10025,71674,0,0,608,0
2025-07,391,753,0,0,68,0,10416,72427,0,0,676,0
2025-08,265,557,0,0,71,0,10681,72984,0,0,747,0
2025-09,283,468,0,1,57,5,10964,73452,0,1,804,5
2025-10,271,479,30,1,74,2,11235,73931,30,2,878,7
2025-11,267,748,8,4,107,6,11502,74679,38,6,985,13
2025-12,275,549,6,7,69,3,11777,75228,44,13,1054,16
2026-01,274,549,11,3,113,4,12051,75777,55,16,1167,20
2026-02,260,440,51,3,59,3,12311,76217,106,19,1226,23
2026-03,416,616,31,2,98,10,12727,76833,137,21,1324,33
2026-04,200,333,7,0,38,2,12927,77166,144,21,1362,35
